ingredient_id,ingredient_name,quantity_kg,price_kg,last_ordered,best_before,supplier_id,
63,cheddar cheese,5.67,8.95,2022-08-09,2022-10-16,S02,
64,burger bun,12.5,4.15,2022-09-05,2022-09-09,S01,
65,vegan mince,15.9,7.49,2022-09-04,2022-09-10,S02,
66,worcestershire sauce,2.5,8.45,2022-08-09,2028-04-01,S02,
67,baby spinach,3.5,3.1,2022-09-04,2022-09-11,S01,
68,peri-peri marinade,1.95,7.29,2022-08-09,2024-12-18,S01,
69,spaghetti,27.25,1.55,2022-04-23,2027-05-31,S03,
70,penne,18.75,1.95,2022-08-09,2027-03-04,S03,
71,lasagne sheets,4.1,4.45,2022-08-09,2026-01-31,S05,
72,lasagne sauce,18.5,6.7,2022-08-09,2022-09-24,S05,
73,chicken stock,4.5,5.99,2022-08-09,2022-10-25,S01,
74,risotto rice,25.5,3.89,2022-08-20,2024-04-22,S05,
75,curry sauce,5.75,48.36,2022-08-20,2023-11-26,S10,
76,carrots,20.15,0.5,2022-09-04,2022-09-11,S01,
77,chocolate,4.75,12.5,2021-03-13,2028-10-02,S01,
78,fudge,2.56,9.99,2022-08-20,2022-09-26,S01,
79,strawberries,14.95,7.5,2022-09-04,2022-09-08,S02,
80,banana,15.25,0.9,2022-09-04,2022-09-08,S02,
81,vanilla ice cream,38.35,2,2022-08-30,2023-01-30,S01,
82,sprinkles,2.12,6.67,2022-08-20,2030-01-15,S01,
83,vegan ice cream,15.8,4.49,2022-08-30,2030-01-15,S03,
84,raspberries,17.8,9.15,2022-09-04,2022-09-11,S02,
85,blackberries,12.55,8.79,2022-09-04,2022-09-11,S02,
86,chocolate sauce,3.7,6.75,2022-08-20,2028-05-03,S01,
87,biscuits,19.5,3.55,2022-06-12,2025-12-03,S01,
88,soft cheese,9.6,5.85,2022-09-04,2022-11-27,S02,
89,double cream,5.5,4.2,2022-09-04,2022-09-08,S02,
90,chocolate ice cream,28.5,2.25,2022-08-30,2023-11-08,S01,
91,apple,18.35,2.46,2022-09-04,2022-09-11,S02,
92,condensed milk,8.25,13.42,2022-05-06,2029-07-23,S04,
93,cinnamon,0.35,12.1,2022-08-20,2030-06-23,S01,
94,Meringue nests,1.75,14.99,2022-09-02,2023-10-31,S02,
95,earl grey tea,2.75,42.75,2022-01-21,2028-07-11,S01,
96,sugar,23.5,0.65,2022-06-13,2027-11-05,S02,
97,milk,75.5,1.15,2022-09-05,2022-09-08,S01,
98,coffee,4.56,17.99,2022-08-16,2027-02-15,S09,
99,decaf coffee,1.95,17.99,2022-01-21,2030-06-26,S09,
100,green tea,2.05,31.99,2022-01-21,2025-11-28,S11,
101,herbal tea,0.9,135.7,2022-01-21,2027-01-13,S01,
102,oranges,27,2.99,2022-09-02,2022-09-09,S02,
103,mango,20.6,4.98,2022-09-02,2022-09-09,S02,
104,Coca cola,89,1.5,2022-08-20,2029-07-03,S03,
105,Pepsi,78,1.5,2022-08-20,2029-09-22,S03,
106,Fanta,68,1.5,2022-08-20,2029-11-11,S03,
107,Sprite,55,1.5,2022-08-20,2030-07-12,S03,
108,almond milk,28,1.45,2022-09-05,2022-09-13,S01,
109,coconut milk,32,1.65,2022-09-05,2022-09-10,S01,
110,passion fruit,5.3,6.56,2022-09-02,2022-09-13,S03,
111,coconut water,11.5,1.25,2022-09-04,2023-02-02,S03,
112,soda water,18.5,1.6,2022-08-20,2028-11-28,S03,
113,mint,0.75,13.75,2022-09-05,2022-09-09,S01,
114,lime,1.78,3.65,2022-09-05,2022-09-16,S01,
115,cabernet sauvignon,55,7.95,2022-08-09,2028-08-07,S10,
116,sauvignon blanc,63,7.65,2022-08-09,2027-02-18,S10,
117,Pinot gris,42,8.9,2022-08-09,2029-06-18,S10,
118,Carlsberg,90.5,2.25,2022-07-25,2023-07-09,S03,
119,San Pellegrino ,192.5,1,2022-07-10,2024-09-28,S03,
120,peppermint tea,1.2,15.47,2022-01-21,2030-04-24,S02,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
